,M35,M29,M31,M33,M36,M37,M16,M30,M41,M32,M40,M39,M34,M38,costs
brown,10.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0
convex,10.0,7.0,8.0,2.0,3.0,2.0,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
scaly,10.0,0.0,8.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
poisonous,10.0,7.0,8.0,2.0,3.0,2.0,0.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0
free,10.0,7.0,8.0,2.0,3.0,2.0,1.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0
closed,10.0,7.0,8.0,2.0,3.0,2.0,1.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0
urban,10.0,7.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
smooth,0.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0
white,0.0,0.0,8.0,0.0,3.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
grasses,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0
edible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
prior,0.19607843137254902,0.13725490196078433,0.1568627450980392,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.0196078431372549,0.17647058823529413,0.0196078431372549,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,
alpha,2.0, , , , , , , , , , , , , , 
