,M85,M84,M83,M73,M94,M66,M62,M80,M53,costs
white,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
convex,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
scaly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
poisonous,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
free,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
closed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
grasses,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
brown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prior,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,
alpha,4.0, , , , , , , , , 
