,M8,M4,M31,M37,M34,M38,costs
yellow,1.0,1.0,1.0,1.0,0.0,1.0,0.0
convex,1.0,1.0,1.0,1.0,1.0,0.0,0.0
scaly,1.0,1.0,1.0,1.0,1.0,1.0,0.0
edible,1.0,1.0,1.0,1.0,1.0,1.0,0.0
free,1.0,1.0,1.0,1.0,1.0,1.0,0.0
closed,1.0,1.0,1.0,1.0,1.0,1.0,0.0
grasses,1.0,1.0,0.0,0.0,1.0,0.0,0.0
paths,0.0,0.0,1.0,1.0,0.0,1.0,0.0
white,0.0,0.0,0.0,0.0,1.0,0.0,0.0
flat,0.0,0.0,0.0,0.0,0.0,1.0,0.0
prior,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,
alpha,4.0, , , , , , 
