,M85,M84,M83,M73,M66,M62,M80,M53,costs,entropy
white,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
convex,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
scaly,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
poisonous,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
free,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
closed,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
grasses,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,3.0
prior,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,
alpha,5.0, , , , , , , , , 
entropy,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,,
entropy_sum,2.625, , , , , , , , , 
