,closed,convex,meadows,white,smooth,flat,brown,sunken,urban
M23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
M47,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337
M36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
M27,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337
M33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
M38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
M3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M12,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337
M35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
