,urban,smooth,grasses,edible,paths,flat
M51,1.0,0.0,0.0,0.0,0.0,0.0
M64,0.0,1.0,0.0,0.0,0.0,0.0
M68,0.0,1.0,0.0,0.0,0.0,0.0
M46,0.0,0.0,0.0,0.5,0.5,0.0
M97,0.0,0.0,1.0,0.0,0.0,0.0
M75,0.0,1.0,0.0,0.0,0.0,0.0
M55,0.0,0.0,1.0,0.0,0.0,0.0
M92,1.0,0.0,0.0,0.0,0.0,0.0
M82,1.0,0.0,0.0,0.0,0.0,0.0
M57,1.0,0.0,0.0,0.0,0.0,0.0
M74,0.0,1.0,0.0,0.0,0.0,0.0
M81,0.0,0.0,0.0,0.0,0.0,1.0
M59,0.0,0.1472132964239978,0.0,0.0,0.0,0.8527867035760022
M71,0.0,0.0,1.0,0.0,0.0,0.0
M79,0.0,0.0,1.0,0.0,0.0,0.0
M78,0.0,1.0,0.0,0.0,0.0,0.0
M95,1.0,0.0,0.0,0.0,0.0,0.0
M58,0.0,0.0,1.0,0.0,0.0,0.0
M98,1.0,0.0,0.0,0.0,0.0,0.0
M91,1.0,0.0,0.0,0.0,0.0,0.0
M100,1.0,0.0,0.0,0.0,0.0,0.0
M69,0.0,0.0,0.5,0.0,0.0,0.5
M99,0.0,0.0,1.0,0.0,0.0,0.0
