,white,flat,brown,convex,gray,sunken,yellow,woods
M13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
M47,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
M27,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
M28,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
M26,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
M20,0.0,0.7040031411428228,0.29599685885717725,0.0,0.0,0.0,0.0,0.0
M3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
M32,0.0,0.0,0.29599685885717725,0.7040031411428228,0.0,0.0,0.0,0.0
M21,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
M43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
M12,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
