,M31,M33,M16,M36,M37,M30,M34,costs
white,8.0,0.0,0.0,3.0,2.0,9.0,1.0,0.0
convex,8.0,1.0,1.0,3.0,2.0,9.0,0.0,0.0
scaly,8.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0
poisonous,8.0,1.0,0.0,3.0,2.0,9.0,1.0,0.0
free,8.0,1.0,1.0,3.0,2.0,9.0,1.0,0.0
closed,8.0,1.0,1.0,3.0,2.0,9.0,1.0,0.0
grasses,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
brown,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
edible,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smooth,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0
urban,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0
flat,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
prior,0.32,0.04,0.04,0.12,0.08,0.36,0.04,
alpha,3.0, , , , , , , 
