,M4,M1,M7,M26,M16,M21,M25,M22,M19,M24,M13,costs
yellow,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
convex,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
scaly,2.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
edible,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
free,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
closed,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
grasses,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
smooth,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meadows,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
white,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
brown,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prior,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,
alpha,3.0, , , , , , , , , , , 
