,M2,M18,M12,M8,M6,M5,M23,M28,costs
white,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
bell,4.0,1.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0
smooth,4.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0
edible,4.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0
free,4.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0
closed,4.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0
meadows,4.0,0.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0
yellow,0.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0
scaly,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
grasses,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
convex,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prior,0.2,0.05,0.25,0.05,0.25,0.1,0.05,0.05,
alpha,3.0, , , , , , , , 
