,edible,poisonous,costs,entropy
white,0.72,0.28,0.0,0.856
flat,0.591,0.409,0.0,0.976
fibrous,1.0,0.0,0.0,0.0
free,0.84,0.16,0.0,0.633
crowded,1.0,0.0,0.0,0.0
grasses,0.525,0.475,0.0,0.998
brown,0.055,0.945,0.0,0.306
convex,0.591,0.409,0.0,0.976
yellow,1.0,0.0,0.0,0.0
woods,1.0,0.0,0.0,0.0
smooth,0.754,0.246,0.0,0.806
closed,0.701,0.299,0.0,0.88
urban,0.0,1.0,0.0,0.0
bell,1.0,0.0,0.0,0.0
meadows,1.0,0.0,0.0,0.0
gray,1.0,0.0,0.0,0.0
prior,0.656,0.344,,
alpha,2.0, , , 
entropy,1.859,1.237,,
entropy_sum,3.096, , , 
