,M18,M4,M12,M2,M8,M1,M7,M6,M11,M9,M5,M10,M23,M26,M16,M17,M21,M25,M22,M14,M19,M24,M3,M13,M20,M15,M28,M27,costs,entropy
yellow,0.016,0.03,0.342,0.0,0.016,0.029,0.198,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.046,0.0,0.0,0.0,0.004,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,2.287
bell,0.019,0.0,0.396,0.124,0.018,0.0,0.0,0.364,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,1.988
scaly,0.024,0.044,0.5,0.0,0.0,0.0,0.289,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.017,0.0,0.006,0.001,0.0,0.035,0.0,0.0,0.0,0.0,0.0,1.993
edible,0.013,0.024,0.271,0.085,0.013,0.023,0.157,0.249,0.001,0.001,0.044,0.005,0.019,0.009,0.001,0.002,0.037,0.001,0.009,0.0,0.003,0.001,0.002,0.019,0.001,0.001,0.009,0.001,0.0,3.09
free,0.013,0.024,0.271,0.085,0.013,0.023,0.157,0.249,0.001,0.001,0.044,0.005,0.019,0.009,0.001,0.002,0.037,0.001,0.009,0.0,0.003,0.001,0.002,0.019,0.001,0.001,0.009,0.001,0.0,3.09
closed,0.013,0.024,0.273,0.086,0.013,0.023,0.158,0.251,0.0,0.0,0.044,0.005,0.019,0.009,0.001,0.0,0.037,0.001,0.009,0.0,0.003,0.001,0.0,0.019,0.001,0.0,0.009,0.0,0.0,3.036
grasses,0.123,0.226,0.0,0.0,0.121,0.221,0.0,0.0,0.006,0.008,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.011,0.086,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.09,0.005,0.0,2.944
convex,0.0,0.077,0.0,0.0,0.0,0.075,0.51,0.0,0.0,0.003,0.0,0.0,0.06,0.029,0.002,0.006,0.12,0.004,0.029,0.0,0.011,0.0,0.007,0.062,0.003,0.003,0.0,0.0,0.0,2.504
meadows,0.0,0.0,0.308,0.097,0.0,0.0,0.178,0.283,0.0,0.0,0.05,0.0,0.021,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,2.452
white,0.0,0.0,0.0,0.437,0.0,0.0,0.0,0.0,0.003,0.0,0.227,0.0,0.095,0.045,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.048,0.0,0.0,2.303
smooth,0.0,0.0,0.0,0.191,0.028,0.052,0.0,0.558,0.0,0.0,0.0,0.0,0.041,0.02,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.002,0.021,0.0,0.0,2.064
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.99
fibrous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.086,0.0,0.474,0.0,0.0,0.0,0.181,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.057,0.0,2.27
crowded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.125,0.0,0.0,0.0,0.0,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.139,0.0,0.083,0.0,2.409
brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.276,0.0,0.107,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,2.259
gray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.077,0.0,1.208
sunken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.986
paths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.73,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.107
woods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.929
prior,0.02,0.041,0.102,0.082,0.02,0.041,0.082,0.102,0.02,0.02,0.041,0.061,0.02,0.02,0.02,0.041,0.02,0.02,0.02,0.02,0.041,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,
alpha,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
entropy,0.019,0.061,0.369,0.211,0.019,0.062,0.259,0.361,0.024,0.025,0.075,0.081,0.024,0.019,0.019,0.059,0.032,0.014,0.019,0.027,0.023,0.018,0.026,0.024,0.026,0.02,0.019,0.028,,
entropy_sum,1.966, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
