,M35,M29,M31,M33,M36,M37,M16,M30,M41,M32,M40,M39,M34,M38,costs,entropy
brown,0.658,0.197,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,1.414
convex,0.341,0.102,0.131,0.034,0.043,0.02,0.0,0.288,0.0,0.041,0.0,0.0,0.0,0.0,0.0,2.428
scaly,0.429,0.0,0.165,0.043,0.0,0.0,0.0,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.681
poisonous,0.341,0.102,0.131,0.034,0.043,0.02,0.0,0.288,0.0,0.041,0.0,0.0,0.0,0.0,0.0,2.434
free,0.341,0.102,0.131,0.034,0.043,0.02,0.0,0.288,0.0,0.041,0.0,0.0,0.0,0.0,0.0,2.434
closed,0.341,0.102,0.131,0.034,0.043,0.02,0.0,0.288,0.0,0.041,0.0,0.0,0.0,0.0,0.0,2.434
urban,0.44,0.132,0.0,0.0,0.055,0.0,0.0,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.671
smooth,0.0,0.496,0.0,0.0,0.207,0.097,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,1.775
white,0.0,0.0,0.272,0.0,0.088,0.041,0.0,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457
grasses,0.0,0.0,0.581,0.15,0.0,0.088,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.633
edible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.201,0.199,0.2,0.0,2.322
prior,0.196,0.137,0.157,0.039,0.059,0.039,0.02,0.176,0.02,0.078,0.02,0.02,0.02,0.02,,
alpha,2.0, , , , , , , , , , , , , , , 
entropy,0.698,0.37,0.46,0.06,0.105,0.05,0.0,0.631,0.009,0.153,0.009,0.009,0.009,0.009,,
entropy_sum,2.573, , , , , , , , , , , , , , , 
