,M31,M33,M16,M36,M37,M30,M34,costs,entropy
white,0.366,0.0,0.0,0.002,0.001,0.631,0.0,0.0,0.976
convex,0.366,0.0,0.0,0.002,0.001,0.631,0.0,0.0,0.976
scaly,0.367,0.0,0.0,0.0,0.0,0.633,0.0,0.0,0.949
poisonous,0.366,0.0,0.0,0.002,0.001,0.631,0.0,0.0,0.976
free,0.366,0.0,0.0,0.002,0.001,0.631,0.0,0.0,0.976
closed,0.366,0.0,0.0,0.002,0.001,0.631,0.0,0.0,0.976
grasses,0.997,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.03
brown,0.0,0.944,0.056,0.0,0.0,0.0,0.0,0.0,0.31
edible,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth,0.0,0.0,0.0,0.601,0.399,0.0,0.0,0.0,0.971
urban,0.0,0.0,0.0,0.003,0.0,0.997,0.0,0.0,0.026
flat,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prior,0.32,0.04,0.04,0.12,0.08,0.36,0.04,,
alpha,3.0, , , , , , , , 
entropy,1.02,0.003,0.009,0.065,0.049,0.906,0.0,,
entropy_sum,2.053, , , , , , , , 
