,M4,M1,M7,M26,M16,M21,M25,M22,M19,M24,M13,costs,entropy
yellow,0.147,0.025,0.787,0.0,0.0,0.014,0.0,0.0,0.028,0.0,0.0,0.0,1.041
convex,0.146,0.024,0.782,0.002,0.001,0.014,0.001,0.002,0.028,0.0,0.002,0.0,1.102
scaly,0.152,0.0,0.814,0.0,0.001,0.0,0.001,0.002,0.029,0.0,0.002,0.0,0.85
edible,0.146,0.024,0.782,0.002,0.001,0.014,0.001,0.002,0.028,0.0,0.002,0.0,1.103
free,0.146,0.024,0.782,0.002,0.001,0.014,0.001,0.002,0.028,0.0,0.002,0.0,1.103
closed,0.146,0.024,0.782,0.002,0.001,0.014,0.001,0.002,0.028,0.0,0.002,0.0,1.103
grasses,0.837,0.14,0.0,0.009,0.0,0.0,0.003,0.01,0.0,0.0,0.0,0.0,0.767
smooth,0.0,0.616,0.0,0.04,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,1.146
meadows,0.0,0.0,0.981,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.002,0.0,0.148
white,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.344,0.0,0.0,0.349,0.0,1.583
brown,0.0,0.0,0.0,0.0,0.492,0.0,0.508,0.0,0.0,0.0,0.0,0.0,1.0
paths,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.98,0.002,0.0,0.0,0.155
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
prior,0.118,0.118,0.235,0.059,0.059,0.059,0.059,0.059,0.118,0.059,0.059,,
alpha,3.0, , , , , , , , , , , , 
entropy,0.312,0.175,0.389,0.049,0.037,0.062,0.032,0.04,0.106,0.001,0.037,,
entropy_sum,1.241, , , , , , , , , , , , 
