,M2,M18,M12,M8,M6,M5,M23,M28,costs,entropy
white,0.708,0.0,0.0,0.0,0.0,0.292,0.0,0.001,0.0,0.878
bell,0.115,0.0,0.299,0.0,0.538,0.047,0.0,0.0,0.0,1.573
smooth,0.176,0.0,0.0,0.0,0.824,0.0,0.0,0.0,0.0,0.675
edible,0.115,0.0,0.299,0.0,0.538,0.047,0.0,0.0,0.0,1.573
free,0.115,0.0,0.299,0.0,0.538,0.047,0.0,0.0,0.0,1.573
closed,0.115,0.0,0.299,0.0,0.538,0.047,0.0,0.0,0.0,1.573
meadows,0.115,0.0,0.299,0.0,0.538,0.047,0.0,0.0,0.0,1.569
yellow,0.0,0.0,0.357,0.0,0.643,0.0,0.0,0.0,0.0,0.943
scaly,0.0,0.0,0.863,0.0,0.0,0.137,0.0,0.0,0.0,0.579
grasses,0.0,0.333,0.0,0.334,0.0,0.0,0.0,0.333,0.0,1.585
convex,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
prior,0.2,0.05,0.25,0.05,0.25,0.1,0.05,0.05,,
alpha,3.0, , , , , , , , , 
entropy,0.518,0.027,0.829,0.027,0.761,0.195,0.0,0.027,,
entropy_sum,2.384, , , , , , , , , 
