,M11,M9,M10,M17,M14,M3,M20,M15,M27,costs,entropy
white,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,0.029,0.0,0.0,0.0,0.408,0.0,0.0,0.0,0.562,0.0,1.144
fibrous,0.001,0.019,0.808,0.11,0.014,0.0,0.027,0.0,0.02,0.0,1.059
edible,0.001,0.019,0.796,0.109,0.014,0.007,0.026,0.007,0.019,0.0,1.169
free,0.001,0.019,0.796,0.109,0.014,0.007,0.026,0.007,0.019,0.0,1.169
crowded,0.006,0.117,0.0,0.667,0.0,0.045,0.0,0.046,0.119,0.0,1.569
grasses,0.022,0.406,0.0,0.0,0.0,0.158,0.0,0.0,0.415,0.0,1.595
brown,0.0,0.32,0.0,0.0,0.238,0.0,0.442,0.0,0.0,0.0,1.54
convex,0.0,0.113,0.0,0.644,0.0,0.044,0.155,0.044,0.0,0.0,1.577
gray,0.0,0.0,0.967,0.0,0.0,0.009,0.0,0.0,0.024,0.0,0.235
sunken,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
closed,0.0,0.0,0.952,0.0,0.017,0.0,0.031,0.0,0.0,0.0,0.324
urban,0.0,0.0,0.952,0.0,0.017,0.0,0.031,0.0,0.0,0.0,0.324
yellow,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.064,0.0,0.0,0.343
woods,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.064,0.0,0.0,0.343
smooth,0.0,0.0,0.0,0.0,0.0,0.499,0.0,0.501,0.0,0.0,1.0
prior,0.083,0.083,0.25,0.167,0.083,0.083,0.083,0.083,0.083,,
alpha,3.0, , , , , , , , , , 
entropy,0.029,0.175,0.238,0.337,0.123,0.124,0.139,0.126,0.152,,
entropy_sum,1.444, , , , , , , , , , 
