,M9,M11,M17,M3,M15,M27,costs,entropy
brown,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
convex,0.002,0.0,0.949,0.016,0.032,0.0,0.0,0.346
fibrous,0.002,0.002,0.979,0.0,0.0,0.017,0.0,0.168
edible,0.002,0.002,0.932,0.016,0.031,0.016,0.0,0.48
free,0.002,0.002,0.932,0.016,0.031,0.016,0.0,0.48
crowded,0.002,0.002,0.932,0.016,0.031,0.016,0.0,0.48
grasses,0.057,0.054,0.0,0.444,0.0,0.444,0.0,1.504
white,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,0.0,0.108,0.0,0.0,0.0,0.892,0.0,0.495
yellow,0.0,0.0,0.967,0.0,0.033,0.0,0.0,0.207
woods,0.0,0.0,0.967,0.0,0.033,0.0,0.0,0.207
gray,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0
smooth,0.0,0.0,0.0,0.339,0.661,0.0,0.0,0.924
prior,0.143,0.143,0.286,0.143,0.143,0.143,,
alpha,4.0, , , , , , , 
entropy,0.047,0.092,0.136,0.276,0.192,0.222,,
entropy_sum,0.967, , , , , , , 
