,M11,M9,M3,M27,costs,entropy
white,1.0,0.0,0.0,0.0,0.0,0.0
flat,0.064,0.0,0.0,0.936,0.0,0.341
fibrous,0.06,0.06,0.0,0.881,0.0,0.647
edible,0.056,0.056,0.055,0.832,0.0,0.919
free,0.056,0.056,0.055,0.832,0.0,0.919
crowded,0.056,0.056,0.055,0.832,0.0,0.919
grasses,0.056,0.056,0.055,0.832,0.0,0.919
brown,0.0,1.0,0.0,0.0,0.0,0.0
convex,0.0,0.506,0.494,0.0,0.0,1.0
gray,0.0,0.0,0.062,0.938,0.0,0.335
smooth,0.0,0.0,1.0,0.0,0.0,0.0
prior,0.25,0.25,0.25,0.25,,
alpha,5.0, , , , , 
entropy,0.358,0.419,0.418,0.305,,
entropy_sum,1.5, , , , , 
