,brown,convex,scaly,poisonous,free,closed,urban,yellow,bell,edible,grasses,white,smooth,meadows,paths,flat,fibrous,crowded,gray,sunken,woods
M35,0.24302207390305955,0.11792760154545248,0.14053353155416543,0.13249094992907764,0.09479955900097796,0.09667471511308522,0.17455156895418164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M18,0.0,0.0,0.06455517370902665,0.0,0.04354691674768391,0.04440828433170404,0.0,0.2322502226543142,0.2767913612455526,0.15307401038579804,0.18537403092592056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M36,0.0,0.099521899476046,0.0,0.11181225453182281,0.08000359591501116,0.08158608462541794,0.14730820835144912,0.0,0.0,0.0,0.0,0.2006576675922441,0.2791102895080087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M29,0.20418664112661505,0.09908252558690969,0.0,0.11131862061420883,0.07965039233602873,0.0812258946020161,0.14665786525364022,0.0,0.0,0.0,0.0,0.0,0.2778780604805814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M31,0.0,0.09636620983816506,0.11483896571768554,0.1082668562338421,0.07746680230524909,0.07899911268051774,0.0,0.0,0.0,0.0,0.3297669382535373,0.19429511497100307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M33,0.19773987130121712,0.0959542002828962,0.11434797669495304,0.10780396598048275,0.07713559634810407,0.07866135539674791,0.0,0.0,0.0,0.0,0.32835703399559896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M4,0.0,0.06968405564868133,0.08304202158772572,0.0,0.05601757059689255,0.05712561045485308,0.0,0.2987603765167603,0.0,0.19691024815877378,0.23846011703631323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M37,0.0,0.083403535833522,0.0,0.0937033700780232,0.0670463768661718,0.06837256893605215,0.0,0.0,0.0,0.0,0.2854084299624194,0.1681595614373173,0.23390615688649402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M12,0.0,0.0,0.061973536782270404,0.0,0.04180542459666085,0.0426323450831882,0.0,0.22296226451552453,0.26572215086096757,0.1469524016125048,0.0,0.0,0.0,0.21795187654888348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M2,0.0,0.0,0.0,0.0,0.04328740261385487,0.04414363695127177,0.0,0.0,0.27514184675107745,0.15216177888506557,0.0,0.10856948547474947,0.15101770535961392,0.22567814396436686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M8,0.0,0.0,0.0,0.0,0.0400480063617519,0.040840164729347005,0.0,0.21358936726267683,0.25455171166921764,0.14077481024130975,0.17047958671424668,0.0,0.13971635302145027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1,0.0,0.06264367697483084,0.0,0.0,0.050357955843991185,0.05135404727826795,0.0,0.26857576450128634,0.0,0.1770158447849387,0.21436781203313676,0.0,0.17568489858354813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M7,0.0,0.06613984973655908,0.07881841518126691,0.0,0.053168456792535665,0.05422014055326712,0.0,0.2835651028935235,0.0,0.18689518145254955,0.0,0.0,0.0,0.27719285339029814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M16,0.0410952017751257,0.019941639467286186,0.02376431795941774,0.0,0.01603067138210722,0.016347761585269783,0.0,0.0,0.0,0.05635023879771022,0.0,0.0,0.0,0.0,0.8264701690330832,0.0,0.0,0.0,0.0,0.0,0.0
M6,0.0,0.0,0.0,0.0,0.03857037456073445,0.039333305046551165,0.0,0.20570866432391705,0.24515964104357232,0.13558071057712714,0.0,0.0,0.13456130673820133,0.20108599770989638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M11,0.0,0.0,0.0,0.0,0.007134243601304457,0.0,0.0,0.0,0.0,0.025077947204585373,0.030369624137663018,0.01789345422165009,0.0,0.0,0.0,0.3678098923339188,0.18390494616695938,0.3678098923339188,0.0,0.0,0.0
M30,0.0,0.11855052901406446,0.14127587003912473,0.13319080518748805,0.09530031750484062,0.09718537873021107,0.17547360048510333,0.0,0.0,0.0,0.0,0.23902349903916778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M41,0.039268609652994696,0.0,0.0,0.0214084889975664,0.015318142989638022,0.015621139224597898,0.0,0.0,0.0,0.0,0.06520750777240408,0.0,0.05344073945257175,0.0,0.0,0.7897353719102272,0.0,0.0,0.0,0.0,0.0
M9,0.0285113347056996,0.013835258932256374,0.0,0.0,0.011121878408904374,0.0,0.0,0.0,0.0,0.03909508774039114,0.0473445099241434,0.0,0.0,0.0,0.0,0.0,0.2866973100962017,0.5733946201924034,0.0,0.0,0.0
M32,0.17123942915290163,0.08309473639859302,0.0,0.09335643577311804,0.06679813938938622,0.06811942126741802,0.0,0.0,0.0,0.0,0.28435171263004766,0.0,0.2330401253885353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5,0.0,0.0,0.07027352449819022,0.0,0.04740433872399468,0.04834200696249129,0.0,0.0,0.30130976942374693,0.1666334330904055,0.0,0.11889520631315417,0.0,0.24714172098801715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M10,0.0,0.0,0.0,0.0,0.007880757637441761,0.008036640755545003,0.01451060136417848,0.0,0.0,0.027702057149795276,0.0,0.0,0.0,0.0,0.0,0.0,0.2031484190984987,0.0,0.33242468579754336,0.4062968381969974,0.0
M23,0.0,0.06915076577028006,0.0,0.0,0.05558886989722947,0.05668842996113072,0.0,0.0,0.0,0.19540330024480668,0.0,0.1394228953098079,0.19393410249860507,0.28981163631814016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M26,0.0,0.07303447992334984,0.0,0.0,0.05871090735217565,0.059872222003097816,0.0,0.0,0.0,0.2063777349349205,0.24992533037990375,0.14725330276437562,0.20482602264217672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M40,0.040777485621717985,0.0,0.0,0.022231099088948676,0.01590673469295465,0.016221373401166944,0.029288590863218087,0.0,0.0,0.0,0.0,0.0,0.05549417216188691,0.0,0.0,0.8200805441701067,0.0,0.0,0.0,0.0,0.0
M17,0.0,0.006864187794710217,0.0,0.0,0.005517978550489034,0.0,0.0,0.029429218935941512,0.0,0.019396530662325086,0.0,0.0,0.0,0.0,0.0,0.0,0.14224122485705065,0.2844824497141013,0.0,0.0,0.5120684094853822
M21,0.0,0.05976466131569661,0.0,0.0,0.0480435747214544,0.04899388718847219,0.0,0.2562323985144235,0.0,0.1688804444754155,0.0,0.0,0.16761066669740485,0.2504743670871331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M39,0.042121741240994395,0.0,0.02435793982306706,0.02296396133921684,0.016431110268577562,0.016756121240923055,0.030254107796111065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8471150182911101,0.0,0.0,0.0,0.0,0.0
M34,0.0,0.0,0.0,0.02142668134320587,0.015331159926604193,0.015634413639438127,0.0,0.0,0.0,0.0,0.06526291932059035,0.03845220651861807,0.05348615192439358,0.0,0.0,0.7904064673271498,0.0,0.0,0.0,0.0,0.0
M25,0.16997608874310072,0.08248169453753681,0.09829288198882187,0.0,0.06630532772090784,0.06761686167582691,0.0,0.0,0.0,0.233073273200767,0.282253872133039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M22,0.0,0.08278594602528327,0.09865545644546543,0.0,0.06654990919704887,0.06786628102732017,0.0,0.0,0.0,0.23393301414720213,0.2832950263067035,0.16691436685097655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M14,0.029373733357636506,0.0,0.0,0.0,0.01145828822787114,0.01168493568732354,0.021097800546556387,0.0,0.0,0.040277619225244025,0.0,0.0,0.0,0.0,0.0,0.5907384153035791,0.2953692076517895,0.0,0.0,0.0,0.0
M19,0.0,0.019093840265812123,0.022754001339130758,0.0,0.015349143144715355,0.01565275256955588,0.0,0.08186209677181522,0.0,0.053954563781423666,0.0,0.0,0.0,0.0,0.7913336021275471,0.0,0.0,0.0,0.0,0.0,0.0
M24,0.0,0.0,0.012839121336058785,0.0,0.008660872797815515,0.008832186765244835,0.0,0.04619132158834941,0.0,0.030444280137775757,0.0,0.0,0.0,0.0,0.4465161086873778,0.4465161086873778,0.0,0.0,0.0,0.0,0.0
M3,0.0,0.011599622529133052,0.0,0.0,0.009324696558979804,0.0,0.0,0.0,0.0,0.03277772123762599,0.03969412113180395,0.0,0.032531272205764135,0.0,0.0,0.0,0.0,0.4807399114851812,0.3933326548515119,0.0,0.0
M13,0.0,0.07783107914571806,0.09275077482860336,0.0,0.06256679422705354,0.06380437916780846,0.0,0.0,0.0,0.2199317615254004,0.0,0.1569242838992045,0.0,0.3261909272062118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M20,0.06935695478135089,0.0336557877089129,0.0,0.0,0.02705519141255283,0.027590349044889047,0.049815907997716326,0.0,0.0,0.09510309708654938,0.0,0.0,0.0,0.0,0.0,0.0,0.6974227119680287,0.0,0.0,0.0,0.0
M15,0.0,0.007826811512536301,0.0,0.0,0.006291811840896641,0.0,0.0,0.03355632981811542,0.0,0.022116671925576075,0.0,0.0,0.021950381159218355,0.0,0.0,0.0,0.0,0.3243778549084491,0.0,0.0,0.5838801388352082
M28,0.0,0.0,0.0,0.0,0.045157314336013964,0.046050535938264796,0.0,0.0,0.2870273130398696,0.15873480190841277,0.19222930139367417,0.11325942622654309,0.15754130715722164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M27,0.0,0.0,0.0,0.0,0.005560413524516882,0.0,0.0,0.0,0.0,0.0195456960255745,0.02367001720528288,0.0,0.0,0.0,0.0,0.28667020837509266,0.14333510418754633,0.28667020837509266,0.234548352306894,0.0,0.0
M38,0.040513704933933636,0.0,0.023428053012913713,0.02208729094289757,0.01580383748500429,0.016116440863828553,0.0,0.0,0.0,0.0,0.06727505131231186,0.0,0.0,0.0,0.0,0.8147756214491103,0.0,0.0,0.0,0.0,0.0
