,yellow,bell,scaly,edible,free,closed,grasses,convex,meadows,white,smooth,flat,fibrous,crowded,brown,gray,sunken,urban,paths,woods
M18,0.03402386615287131,0.048325510022721535,0.07398065007500225,0.015475430738001505,0.015475430738001505,0.01788379464660299,0.7948353176267989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M4,0.03118727820448128,0.0,0.06781284364542335,0.014185235786894951,0.014185235786894951,0.016392813106230465,0.7285694713880206,0.1276671220820544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M12,0.14315195854560211,0.20332467146400127,0.31126606556497055,0.0651113018587623,0.0651113018587623,0.07524424821053215,0.0,0.0,0.13679045249736932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M2,0.0,0.07976247073933185,0.0,0.025542587979682684,0.025542587979682684,0.029517653234020804,0.0,0.0,0.05366168496021959,0.6287784120856499,0.1571946030214125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M8,0.03331562614718383,0.04731956733121308,0.0,0.015153294532061445,0.015153294532061445,0.017511525993613507,0.7782900441605997,0.0,0.0,0.0,0.09325664730326713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1,0.0305911736673148,0.0,0.0,0.013914103328400082,0.013914103328400082,0.01607948565888233,0.7146438070614369,0.12522692995560059,0.0,0.0,0.0856303969999651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M7,0.10353246192655251,0.0,0.22511841549039824,0.04709075201743142,0.04709075201743142,0.05441925030014418,0.0,0.42381676815688263,0.09893160009115969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M6,0.13139922446878285,0.18663177519313526,0.0,0.059765682951999174,0.059765682951999174,0.06906671736140402,0.0,0.0,0.12555999621313185,0.0,0.36781092085954775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M11,0.0,0.0,0.0,0.0007273541747681807,0.0007273541747681807,0.0,0.03735771858739903,0.0,0.0,0.01790517873123859,0.0,0.7564938013948307,0.03735771858739903,0.14943087434959626,0.0,0.0,0.0,0.0,0.0,0.0
M9,0.0,0.0,0.0,0.001015427732008313,0.001015427732008313,0.0,0.05215349656898249,0.009138849588074816,0.0,0.0,0.0,0.0,0.05215349656898249,0.20861398627593014,0.6759093155340135,0.0,0.0,0.0,0.0,0.0
M5,0.0,0.08266292066875222,0.1265471715724736,0.026471408223290728,0.026471408223290728,0.03059102112804032,0.0,0.0,0.05561301656909237,0.65164305361506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M10,0.0,0.0,0.0,0.0018690923884418828,0.0018690923884418828,0.002159969891393151,0.0,0.0,0.0,0.0,0.0,0.0,0.09599866183969549,0.0,0.0,0.25705426806662274,0.3839946473587821,0.25705426806662274,0.0,0.0
M23,0.0,0.0,0.0,0.022208612792302962,0.022208612792302962,0.025664828158105113,0.0,0.1998775151307266,0.046657432833823204,0.5467063986341915,0.13667659965854784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
