,brown,convex,scaly,poisonous,free,closed,urban,smooth,white,grasses,edible,paths,flat
M35,0.32256157325770607,0.09077441061821749,0.15378360720506282,0.08860025214064372,0.08806891749362257,0.08806891749362257,0.16814232179112462,0.0,0.0,0.0,0.0,0.0,0.0
M29,0.1381603542085969,0.03888071538536848,0.0,0.03794947456107093,0.03772189201831996,0.03772189201831996,0.07201912646165666,0.637546545346667,0.0,0.0,0.0,0.0,0.0
M31,0.0,0.043748809866451535,0.07411614954447471,0.04270097220816087,0.042444894991138196,0.042444894991138196,0.0,0.0,0.18617427952503143,0.5683699988736051,0.0,0.0,0.0
M33,0.16038514352766256,0.04513515583584467,0.07646479915349452,0.04405411349110466,0.043789921502074294,0.043789921502074294,0.0,0.0,0.0,0.5863809449877448,0.0,0.0,0.0
M36,0.0,0.03784756712258029,0.0,0.03694107146642907,0.03671953630491462,0.03671953630491462,0.07010541590736516,0.620605496313927,0.16106137657986924,0.0,0.0,0.0,0.0
M37,0.0,0.0266232632678217,0.0,0.025985603456645866,0.02582976810509006,0.02582976810509006,0.0,0.43655496957862105,0.11329603874076696,0.3458805887459644,0.0,0.0,0.0
M16,1.6514102715663416e-05,4.6473543818730125e-06,7.873220172263568e-06,0.0,4.5088419394117145e-06,4.5088419394117145e-06,0.0,0.0,0.0,0.0,0.49998097381942563,0.49998097381942563,0.0
M30,0.0,0.08533583330976315,0.1445699529289109,0.08329193542964836,0.08279243469413161,0.08279243469413161,0.15806839225904443,0.0,0.36314901668436994,0.0,0.0,0.0,0.0
M41,0.0008189127189859574,0.0,0.0,0.00022493650638716494,0.00022358756486232944,0.00022358756486232944,0.0,0.0037789058802040663,0.0,0.002994010563943831,0.0,0.0,0.9917360592007542
M32,0.09640622136825602,0.027130379593111615,0.0,0.02648057372391967,0.026321770041621097,0.026321770041621097,0.0,0.4448704097157934,0.0,0.35246887551567707,0.0,0.0,0.0
M40,0.0008210203885695771,0.0,0.0,0.00022551543479035907,0.00022416302143884892,0.00022416302143884892,0.0004279749536738784,0.003788631806787464,0.0,0.0,0.0,0.0,0.9942885313733011
M39,0.0008238190702458498,0.0,0.0003927618129686846,0.00022628416833687188,0.00022492714489952427,0.00022492714489952427,0.00042943382811527623,0.0,0.0,0.0,0.0,0.0,0.9976778468305343
M34,0.0,0.0,0.0,0.0002249001175194043,0.00022355139421817132,0.00022355139421817132,0.0,0.003778294551662678,0.0009805541930089318,0.0029935262110202653,0.0,0.0,0.9915756221383524
M38,0.000821697025557773,0.0,0.00039175011252499275,0.0002257012914228041,0.00022434776349130337,0.00022434776349130337,0.0,0.0,0.0,0.0030041902120259817,0.0,0.0,0.9951079658314859
