,yellow,convex,scaly,edible,free,closed,grasses,smooth,meadows,white,brown,paths,flat
M4,0.04005010766035604,0.02751254088208865,0.044337730404264745,0.025221059051419522,0.025221059051419522,0.025221059051419522,0.812436443899032,0.0,0.0,0.0,0.0,0.0,0.0
M1,0.006717646192410204,0.004614707083123229,0.0,0.004230354453529454,0.004230354453529454,0.004230354453529454,0.1362708093126035,0.8397057740512747,0.0,0.0,0.0,0.0,0.0
M7,0.10737849273285842,0.0737639757731319,0.11887405403202991,0.06762027530698957,0.06762027530698957,0.06762027530698957,0.0,0.0,0.4971226515410111,0.0,0.0,0.0,0.0
M26,0.0,0.0005984632143150572,0.0,0.0005486180332463906,0.0005486180332463906,0.0005486180332463906,0.01767242537598722,0.10889813970110646,0.0,0.8711851176088521,0.0,0.0,0.0
M16,0.0,0.00019606595068825155,0.0003159693355960079,0.00017973588631722533,0.00017973588631722533,0.00017973588631722533,0.0,0.0,0.0,0.0,0.9632720157313797,0.035676741323384414,0.0
M21,0.007507180875280791,0.005157080287822649,0.0,0.004727554137203063,0.004727554137203063,0.004727554137203063,0.0,0.9383976094100985,0.03475546701518883,0.0,0.0,0.0,0.0
M25,0.0,0.0002021062969658594,0.0003257036326190551,0.00018527314043023055,0.00018527314043023055,0.00018527314043023055,0.005968133655857349,0.0,0.0,0.0,0.9929482369932671,0.0,0.0
M22,0.0,0.0006708730132050305,0.0010811428476366603,0.0006149969192072421,0.0006149969192072421,0.0006149969192072421,0.019810663344110066,0.0,0.0,0.9765923300374265,0.0,0.0,0.0
M19,0.007711097723342441,0.005297161574655143,0.008536620547387998,0.004855968245603398,0.004855968245603398,0.004855968245603398,0.0,0.0,0.0,0.0,0.0,0.9638872154178042,0.0
M24,3.6860928803771405e-05,0.0,4.080712934937176e-05,2.321271318254992e-05,2.321271318254992e-05,2.321271318254992e-05,0.0,0.0,0.0,0.0,0.0,0.004607616100471424,0.9952450777018278
M13,0.0,0.0006812895229796649,0.0010979295342651498,0.0006245458521560988,0.0006245458521560988,0.0006245458521560988,0.0,0.0,0.004591461490259384,0.9917556818960276,0.0,0.0,0.0
