,M30,M25,M10,M15,M48,M42,M50,costs
yellow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
bell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
scaly,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
edible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
free,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
closed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
grasses,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
meadows,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
smooth,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prior,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,
alpha,4.0, , , , , , , 
