,M88,M30,M64,M51,M85,M94,M8,M68,M65,M76,M25,M61,M2,M10,M4,M45,M23,M46,M15,M29,M13,M86,M97,M11,M70,M75,M55,M16,M47,M36,M40,M92,M84,M83,M24,M27,M48,M82,M57,M96,M28,M33,M42,M26,M74,M81,M63,M59,M73,M39,M71,M60,M52,M34,M22,M20,M50,M66,M54,M62,M67,M31,M37,M79,M38,M3,M17,M19,M78,M6,M95,M58,M41,M80,M9,M93,M77,M98,M56,M1,M87,M32,M90,M91,M89,M18,M21,M100,M44,M43,M72,M69,M49,M5,M14,M99,M53,M12,M35,M7,costs,entropy
brown,0.036,0.0,0.0,0.034,0.0,0.035,0.0,0.0,0.036,0.036,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.02,0.014,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.016,0.0,0.0,0.02,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.021,0.036,0.0,0.0,0.035,0.033,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.035,0.0,0.0,0.0,0.036,0.0,0.034,0.0,0.0,0.036,0.022,0.036,0.034,0.036,0.0,0.0,0.034,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,4.993
convex,0.017,0.0,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.0,0.017,0.0,0.0,0.016,0.015,0.014,0.007,0.0,0.0,0.0,0.017,0.0,0.006,0.017,0.016,0.015,0.0,0.0,0.014,0.016,0.016,0.016,0.016,0.007,0.0,0.0,0.0,0.016,0.017,0.003,0.013,0.0,0.003,0.016,0.0,0.017,0.0,0.016,0.016,0.015,0.017,0.017,0.016,0.0,0.0,0.0,0.016,0.017,0.016,0.017,0.007,0.007,0.015,0.0,0.005,0.0,0.015,0.016,0.0,0.016,0.016,0.0,0.016,0.014,0.017,0.017,0.016,0.017,0.015,0.017,0.01,0.017,0.016,0.017,0.014,0.004,0.016,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.015,0.016,0.0,0.014,0.0,0.0,6.05
scaly,0.022,0.016,0.0,0.0,0.022,0.021,0.02,0.0,0.022,0.022,0.015,0.022,0.0,0.0,0.02,0.0,0.019,0.009,0.015,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.022,0.022,0.009,0.0,0.015,0.0,0.0,0.022,0.0,0.0,0.015,0.0,0.0,0.013,0.022,0.0,0.022,0.021,0.0,0.022,0.022,0.022,0.0,0.0,0.015,0.022,0.022,0.022,0.022,0.009,0.009,0.0,0.007,0.0,0.0,0.02,0.0,0.016,0.0,0.021,0.0,0.022,0.019,0.022,0.022,0.0,0.022,0.0,0.022,0.0,0.022,0.0,0.022,0.019,0.0,0.0,0.0,0.0,0.022,0.012,0.0,0.0,0.0,0.0,0.022,0.0,0.019,0.0,0.0,5.686
poisonous,0.021,0.0,0.02,0.02,0.021,0.021,0.0,0.02,0.021,0.021,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.012,0.0,0.022,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.021,0.021,0.0,0.0,0.0,0.012,0.02,0.021,0.0,0.0,0.0,0.0,0.02,0.012,0.021,0.012,0.021,0.0,0.02,0.022,0.022,0.0,0.0,0.0,0.0,0.021,0.022,0.021,0.022,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.021,0.0,0.021,0.0,0.021,0.022,0.02,0.022,0.0,0.021,0.0,0.021,0.02,0.021,0.0,0.0,0.02,0.0,0.0,0.022,0.012,0.0,0.0,0.0,0.02,0.021,0.0,0.0,0.0,0.0,5.628
free,0.013,0.009,0.012,0.012,0.013,0.013,0.012,0.012,0.013,0.013,0.009,0.013,0.009,0.009,0.012,0.011,0.011,0.006,0.009,0.008,0.004,0.013,0.007,0.005,0.013,0.012,0.012,0.009,0.002,0.011,0.012,0.012,0.013,0.013,0.006,0.002,0.009,0.007,0.012,0.013,0.003,0.01,0.009,0.003,0.012,0.007,0.013,0.007,0.013,0.013,0.012,0.013,0.013,0.013,0.008,0.005,0.009,0.013,0.013,0.013,0.013,0.005,0.005,0.012,0.004,0.004,0.009,0.012,0.012,0.009,0.012,0.013,0.009,0.013,0.011,0.013,0.013,0.012,0.013,0.011,0.013,0.008,0.013,0.012,0.013,0.011,0.003,0.012,0.009,0.003,0.013,0.007,0.008,0.009,0.008,0.012,0.013,0.002,0.011,0.008,0.0,6.555
closed,0.013,0.01,0.013,0.012,0.013,0.013,0.012,0.012,0.013,0.013,0.009,0.013,0.009,0.009,0.012,0.012,0.011,0.006,0.009,0.009,0.0,0.013,0.007,0.0,0.013,0.012,0.012,0.009,0.002,0.011,0.012,0.012,0.013,0.013,0.006,0.002,0.009,0.007,0.012,0.013,0.0,0.011,0.009,0.0,0.013,0.008,0.013,0.007,0.013,0.013,0.012,0.013,0.013,0.013,0.009,0.006,0.009,0.013,0.013,0.013,0.013,0.006,0.006,0.012,0.004,0.0,0.009,0.012,0.013,0.009,0.012,0.013,0.009,0.013,0.011,0.013,0.013,0.012,0.013,0.012,0.013,0.008,0.013,0.012,0.013,0.011,0.0,0.012,0.01,0.0,0.013,0.008,0.009,0.009,0.009,0.012,0.013,0.002,0.011,0.009,0.0,6.482
urban,0.032,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.032,0.032,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.0,0.006,0.0,0.0,0.03,0.0,0.0,0.0,0.006,0.0,0.018,0.03,0.032,0.0,0.0,0.0,0.0,0.03,0.018,0.032,0.0,0.0,0.0,0.0,0.032,0.032,0.0,0.0,0.014,0.0,0.0,0.032,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.032,0.032,0.03,0.032,0.0,0.032,0.02,0.032,0.03,0.032,0.0,0.0,0.03,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,5.091
yellow,0.0,0.041,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.038,0.0,0.0,0.039,0.052,0.05,0.048,0.0,0.038,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.011,0.046,0.038,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.038,0.0,0.0,0.0,0.0,0.024,0.024,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.048,0.013,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.037,0.0,0.0,0.0,0.048,0.037,0.0,4.663
bell,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.053,0.054,0.0,0.0,0.0,0.0,0.052,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.055,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.05,0.053,0.05,0.0,0.0,0.0,0.0,0.05,0.0,4.247
edible,0.0,0.024,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.022,0.0,0.022,0.023,0.03,0.028,0.027,0.014,0.022,0.021,0.01,0.0,0.0,0.012,0.0,0.0,0.0,0.023,0.006,0.028,0.03,0.0,0.0,0.0,0.014,0.006,0.022,0.0,0.0,0.0,0.006,0.026,0.022,0.006,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.032,0.021,0.014,0.022,0.0,0.0,0.0,0.0,0.014,0.014,0.0,0.01,0.01,0.022,0.029,0.0,0.023,0.0,0.0,0.022,0.0,0.027,0.0,0.0,0.0,0.0,0.028,0.0,0.02,0.0,0.0,0.0,0.027,0.007,0.0,0.024,0.007,0.0,0.0,0.021,0.022,0.021,0.0,0.0,0.006,0.027,0.021,0.0,5.518
