,M30,M8,M25,M2,M10,M4,M45,M23,M15,M29,M13,M11,M16,M47,M36,M40,M24,M27,M48,M28,M33,M42,M26,M39,M34,M22,M20,M50,M31,M37,M38,M3,M17,M19,M6,M41,M9,M1,M32,M18,M21,M44,M43,M49,M5,M14,M12,M35,M7,costs,entropy
yellow,0.037,0.04,0.05,0.0,0.035,0.04,0.037,0.055,0.05,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.003,0.05,0.05,0.003,0.0,0.0,0.046,0.0,0.05,0.007,0.007,0.004,0.0,0.0,0.0,0.0,0.0,0.055,0.037,0.0,0.055,0.003,0.0,0.0,0.046,0.0,0.046,0.0,0.055,0.046,0.0,4.51
bell,0.049,0.0,0.066,0.04,0.046,0.0,0.0,0.0,0.066,0.06,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.066,0.0,0.0,0.0,0.06,0.0,0.066,0.0,0.0,0.0,0.0,0.04,0.0,0.042,0.04,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.06,0.04,0.06,0.0,0.0,0.06,0.0,4.213
scaly,0.05,0.054,0.067,0.0,0.0,0.054,0.0,0.074,0.067,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.006,0.0,0.067,0.0,0.0,0.067,0.0,0.013,0.037,0.0,0.0,0.067,0.009,0.009,0.005,0.0,0.0,0.045,0.043,0.0,0.074,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,4.148
edible,0.027,0.029,0.036,0.022,0.025,0.029,0.027,0.04,0.036,0.033,0.003,0.004,0.023,0.002,0.023,0.019,0.003,0.002,0.036,0.002,0.036,0.036,0.002,0.007,0.02,0.033,0.002,0.036,0.005,0.005,0.003,0.005,0.022,0.024,0.023,0.022,0.04,0.027,0.004,0.04,0.003,0.018,0.003,0.033,0.022,0.033,0.002,0.04,0.033,0.0,5.218
free,0.027,0.029,0.036,0.022,0.025,0.029,0.027,0.04,0.036,0.033,0.003,0.004,0.023,0.002,0.023,0.019,0.003,0.002,0.036,0.002,0.036,0.036,0.002,0.007,0.02,0.033,0.002,0.036,0.005,0.005,0.003,0.005,0.022,0.024,0.023,0.022,0.04,0.027,0.004,0.04,0.003,0.018,0.003,0.033,0.022,0.033,0.002,0.04,0.033,0.0,5.218
closed,0.028,0.03,0.037,0.022,0.026,0.03,0.028,0.041,0.037,0.034,0.0,0.0,0.023,0.002,0.024,0.019,0.003,0.002,0.037,0.0,0.037,0.037,0.0,0.007,0.02,0.034,0.002,0.037,0.005,0.005,0.003,0.0,0.022,0.025,0.023,0.022,0.041,0.028,0.004,0.041,0.0,0.019,0.0,0.034,0.022,0.034,0.002,0.041,0.034,0.0,5.116
grasses,0.111,0.119,0.0,0.0,0.104,0.119,0.111,0.0,0.0,0.0,0.014,0.018,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.074,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504
convex,0.0,0.067,0.0,0.0,0.0,0.067,0.063,0.091,0.0,0.0,0.0,0.01,0.0,0.0,0.053,0.044,0.007,0.0,0.0,0.006,0.084,0.0,0.006,0.016,0.046,0.0,0.0,0.0,0.012,0.012,0.0,0.011,0.0,0.056,0.0,0.0,0.091,0.063,0.009,0.091,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,4.065
meadows,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.055,0.05,0.046,0.0,0.0,0.032,0.0,0.032,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.046,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.034,0.032,0.03,0.055,0.0,0.0,0.055,0.0,0.0,0.0,0.046,0.03,0.046,0.0,0.055,0.046,0.0,4.488
white,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.095,0.0,0.096,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.101,0.095,0.09,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.512
smooth,0.0,0.0,0.0,0.05,0.058,0.0,0.062,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.053,0.043,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.011,0.05,0.0,0.0,0.05,0.0,0.062,0.0,0.0,0.006,0.041,0.0,0.076,0.05,0.076,0.0,0.0,0.076,0.0,4.038
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.0,0.0,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.986
fibrous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.17,0.0,0.066,0.0,0.0,0.0,0.066,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.066,0.0,0.0,0.0,3.245
