,M88,M51,M65,M85,M94,M76,M64,M68,M61,M46,M86,M97,M70,M75,M55,M92,M84,M83,M82,M57,M96,M74,M81,M63,M59,M73,M71,M60,M52,M66,M54,M62,M67,M79,M78,M95,M58,M80,M93,M77,M98,M56,M87,M90,M91,M89,M100,M72,M69,M99,M53,costs,entropy
brown,0.052,0.038,0.052,0.0,0.038,0.052,0.0,0.0,0.052,0.0,0.0,0.005,0.0,0.0,0.03,0.038,0.0,0.0,0.006,0.038,0.052,0.0,0.006,0.052,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.038,0.038,0.0,0.052,0.0,0.038,0.0,0.052,0.052,0.038,0.052,0.038,0.0,0.006,0.03,0.0,0.0,4.594
convex,0.028,0.021,0.028,0.019,0.021,0.028,0.019,0.015,0.028,0.0,0.025,0.0,0.025,0.015,0.016,0.021,0.019,0.019,0.0,0.021,0.028,0.019,0.0,0.028,0.0,0.019,0.016,0.025,0.025,0.019,0.025,0.019,0.025,0.016,0.019,0.021,0.021,0.019,0.028,0.025,0.021,0.025,0.028,0.028,0.021,0.028,0.021,0.025,0.0,0.016,0.019,0.0,5.467
scaly,0.04,0.0,0.04,0.027,0.029,0.04,0.0,0.0,0.04,0.0,0.035,0.0,0.035,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.04,0.0,0.004,0.04,0.0,0.027,0.0,0.035,0.035,0.027,0.035,0.027,0.035,0.0,0.0,0.0,0.029,0.027,0.04,0.035,0.0,0.035,0.04,0.04,0.0,0.04,0.0,0.035,0.004,0.0,0.027,0.0,4.88
poisonous,0.028,0.02,0.028,0.019,0.021,0.028,0.019,0.015,0.028,0.0,0.025,0.003,0.025,0.015,0.016,0.02,0.019,0.019,0.003,0.02,0.028,0.019,0.003,0.028,0.003,0.019,0.016,0.025,0.025,0.019,0.025,0.019,0.025,0.016,0.019,0.02,0.021,0.019,0.028,0.025,0.02,0.025,0.028,0.028,0.02,0.028,0.02,0.025,0.003,0.016,0.019,0.0,5.531
free,0.028,0.02,0.028,0.019,0.021,0.028,0.019,0.015,0.028,0.0,0.025,0.003,0.025,0.015,0.016,0.02,0.019,0.019,0.003,0.02,0.028,0.019,0.003,0.028,0.003,0.019,0.016,0.025,0.025,0.019,0.025,0.019,0.025,0.016,0.019,0.02,0.021,0.019,0.028,0.025,0.02,0.025,0.028,0.028,0.02,0.028,0.02,0.025,0.003,0.016,0.019,0.0,5.531
closed,0.028,0.02,0.028,0.019,0.021,0.028,0.019,0.015,0.028,0.0,0.025,0.003,0.025,0.015,0.016,0.02,0.019,0.019,0.003,0.02,0.028,0.019,0.003,0.028,0.003,0.019,0.016,0.025,0.025,0.019,0.025,0.019,0.025,0.016,0.019,0.02,0.021,0.019,0.028,0.025,0.02,0.025,0.028,0.028,0.02,0.028,0.02,0.025,0.003,0.016,0.019,0.0,5.531
urban,0.039,0.029,0.039,0.0,0.0,0.039,0.026,0.0,0.039,0.0,0.035,0.0,0.035,0.0,0.0,0.029,0.0,0.0,0.004,0.029,0.039,0.026,0.004,0.039,0.0,0.0,0.0,0.035,0.035,0.0,0.035,0.0,0.035,0.0,0.026,0.029,0.0,0.0,0.039,0.035,0.029,0.035,0.039,0.039,0.029,0.039,0.029,0.035,0.0,0.0,0.0,0.0,4.882
smooth,0.0,0.067,0.0,0.0,0.0,0.0,0.062,0.05,0.0,0.0,0.0,0.009,0.0,0.05,0.054,0.067,0.0,0.0,0.01,0.067,0.0,0.062,0.0,0.0,0.009,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.062,0.067,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.0,0.054,0.0,0.0,4.109
white,0.0,0.0,0.0,0.041,0.0,0.0,0.04,0.033,0.0,0.0,0.053,0.0,0.053,0.033,0.0,0.0,0.041,0.041,0.0,0.0,0.0,0.04,0.0,0.0,0.006,0.041,0.0,0.053,0.053,0.041,0.053,0.041,0.053,0.0,0.04,0.0,0.0,0.041,0.0,0.053,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.041,0.0,4.467
grasses,0.0,0.0,0.0,0.064,0.07,0.0,0.0,0.051,0.0,0.0,0.0,0.01,0.0,0.051,0.055,0.0,0.064,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.064,0.055,0.0,0.0,0.064,0.0,0.064,0.0,0.055,0.0,0.0,0.07,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.055,0.064,0.0,4.113
