,M85,M94,M46,M84,M64,M68,M86,M70,M75,M83,M74,M59,M73,M60,M52,M66,M54,M62,M67,M78,M80,M77,M56,M72,M53,costs,entropy
white,0.056,0.0,0.0,0.056,0.011,0.011,0.056,0.056,0.011,0.056,0.011,0.0,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.011,0.056,0.056,0.056,0.056,0.056,0.0,4.296
convex,0.056,0.0,0.0,0.056,0.011,0.011,0.056,0.056,0.011,0.056,0.011,0.0,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.011,0.056,0.056,0.056,0.056,0.056,0.0,4.299
scaly,0.059,0.001,0.0,0.059,0.0,0.0,0.059,0.059,0.0,0.059,0.0,0.0,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.0,0.059,0.059,0.059,0.059,0.059,0.0,4.092
poisonous,0.056,0.0,0.0,0.056,0.011,0.011,0.056,0.056,0.011,0.056,0.011,0.0,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.011,0.056,0.056,0.056,0.056,0.056,0.0,4.3
free,0.056,0.0,0.0,0.056,0.011,0.011,0.056,0.056,0.011,0.056,0.011,0.0,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.011,0.056,0.056,0.056,0.056,0.056,0.0,4.3
closed,0.056,0.0,0.0,0.056,0.011,0.011,0.056,0.056,0.011,0.056,0.011,0.0,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.011,0.056,0.056,0.056,0.056,0.056,0.0,4.3
grasses,0.119,0.001,0.0,0.119,0.0,0.023,0.0,0.0,0.023,0.119,0.0,0.0,0.119,0.0,0.0,0.119,0.0,0.119,0.0,0.0,0.119,0.0,0.0,0.0,0.119,0.0,3.188
brown,0.0,0.944,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311
edible,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.332
urban,0.0,0.0,0.0,0.0,0.02,0.0,0.104,0.104,0.0,0.0,0.02,0.0,0.0,0.104,0.104,0.0,0.104,0.0,0.104,0.02,0.0,0.104,0.104,0.104,0.0,0.0,3.404
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,
alpha,3.0, , , , , , , , , , , , , , , , , , , , , , , , , , 
entropy,0.071,0.005,0.009,0.071,0.037,0.038,0.07,0.07,0.038,0.071,0.037,0.001,0.071,0.07,0.07,0.071,0.07,0.071,0.07,0.037,0.071,0.07,0.07,0.07,0.071,,
entropy_sum,1.393, , , , , , , , , , , , , , , , , , , , , , , , , , 
