,M97,M55,M82,M51,M92,M57,M71,M79,M95,M98,M91,M100,M99,costs,entropy
brown,0.004,0.051,0.004,0.113,0.113,0.113,0.051,0.051,0.113,0.113,0.113,0.113,0.051,0.0,3.424
flat,0.489,0.0,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
smooth,0.004,0.051,0.004,0.113,0.113,0.113,0.051,0.051,0.113,0.113,0.113,0.113,0.051,0.0,3.424
poisonous,0.004,0.051,0.004,0.113,0.113,0.113,0.051,0.051,0.113,0.113,0.113,0.113,0.051,0.0,3.424
free,0.004,0.051,0.004,0.113,0.113,0.113,0.051,0.051,0.113,0.113,0.113,0.113,0.051,0.0,3.424
closed,0.004,0.051,0.004,0.113,0.113,0.113,0.051,0.051,0.113,0.113,0.113,0.113,0.051,0.0,3.424
grasses,0.02,0.245,0.0,0.0,0.0,0.0,0.245,0.245,0.0,0.0,0.0,0.0,0.245,0.0,2.101
convex,0.0,0.051,0.0,0.114,0.114,0.114,0.051,0.051,0.114,0.114,0.114,0.114,0.051,0.0,3.374
urban,0.0,0.0,0.005,0.142,0.142,0.142,0.0,0.0,0.142,0.142,0.142,0.142,0.0,0.0,2.841
prior,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,,
alpha,3.0, , , , , , , , , , , , , , 
entropy,0.06,0.139,0.054,0.195,0.195,0.195,0.139,0.139,0.195,0.195,0.195,0.195,0.139,,
entropy_sum,2.034, , , , , , , , , , , , , , 
