,M8,M4,M45,M23,M40,M24,M33,M39,M34,M31,M37,M38,M19,M9,M1,M18,M35,costs,entropy
yellow,0.161,0.161,0.039,0.119,0.0,0.0,0.036,0.0,0.0,0.044,0.044,0.001,0.0,0.119,0.039,0.119,0.119,0.0,3.25
convex,0.152,0.152,0.037,0.112,0.013,0.005,0.034,0.006,0.018,0.042,0.042,0.0,0.017,0.112,0.037,0.112,0.112,0.0,3.501
scaly,0.172,0.172,0.0,0.127,0.0,0.006,0.0,0.006,0.02,0.047,0.047,0.001,0.019,0.127,0.0,0.127,0.127,0.0,3.125
edible,0.152,0.152,0.037,0.112,0.013,0.005,0.034,0.006,0.018,0.042,0.042,0.001,0.017,0.112,0.037,0.112,0.112,0.0,3.507
free,0.152,0.152,0.037,0.112,0.013,0.005,0.034,0.006,0.018,0.042,0.042,0.001,0.017,0.112,0.037,0.112,0.112,0.0,3.507
closed,0.152,0.152,0.037,0.112,0.013,0.005,0.034,0.006,0.018,0.042,0.042,0.001,0.017,0.112,0.037,0.112,0.112,0.0,3.507
grasses,0.368,0.368,0.088,0.0,0.031,0.0,0.0,0.014,0.043,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,2.116
smooth,0.0,0.0,0.305,0.0,0.108,0.0,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0,1.907
meadows,0.0,0.0,0.0,0.225,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.034,0.225,0.0,0.225,0.225,0.0,2.364
white,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.372,0.0,0.0,0.0,0.357,0.0,0.0,0.0,0.0,0.0,1.572
brown,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998
paths,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.467,0.467,0.008,0.0,0.0,0.0,0.0,0.0,0.0,1.319
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,,
alpha,3.0, , , , , , , , , , , , , , , , , , 
entropy,0.179,0.179,0.101,0.155,0.079,0.056,0.095,0.046,0.074,0.099,0.099,0.006,0.071,0.155,0.101,0.155,0.155,,
entropy_sum,1.804, , , , , , , , , , , , , , , , , , 
