,M2,M30,M25,M10,M15,M29,M16,M36,M48,M42,M22,M50,M17,M6,M41,M44,M49,M5,M14,M7,costs,entropy
white,0.182,0.0,0.0,0.0,0.0,0.0,0.128,0.001,0.0,0.0,0.0,0.0,0.182,0.128,0.182,0.015,0.0,0.182,0.0,0.0,0.0,2.646
bell,0.052,0.004,0.052,0.004,0.052,0.09,0.036,0.0,0.052,0.052,0.09,0.052,0.052,0.036,0.052,0.004,0.09,0.052,0.09,0.09,0.0,3.999
smooth,0.078,0.0,0.0,0.007,0.0,0.135,0.0,0.0,0.0,0.0,0.135,0.0,0.078,0.0,0.078,0.006,0.135,0.078,0.135,0.135,0.0,3.195
edible,0.052,0.004,0.052,0.004,0.052,0.09,0.036,0.0,0.052,0.052,0.09,0.052,0.052,0.036,0.052,0.004,0.09,0.052,0.09,0.09,0.0,4.001
free,0.052,0.004,0.052,0.004,0.052,0.09,0.036,0.0,0.052,0.052,0.09,0.052,0.052,0.036,0.052,0.004,0.09,0.052,0.09,0.09,0.0,4.001
closed,0.052,0.004,0.052,0.004,0.052,0.09,0.036,0.0,0.052,0.052,0.09,0.052,0.052,0.036,0.052,0.004,0.09,0.052,0.09,0.09,0.0,4.001
meadows,0.052,0.0,0.052,0.0,0.052,0.091,0.037,0.0,0.052,0.052,0.091,0.052,0.052,0.037,0.052,0.0,0.091,0.052,0.091,0.091,0.0,3.932
yellow,0.0,0.006,0.072,0.006,0.072,0.125,0.0,0.0,0.072,0.072,0.125,0.072,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,3.336
scaly,0.0,0.013,0.154,0.0,0.154,0.0,0.108,0.0,0.154,0.154,0.0,0.154,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.853
grasses,0.0,0.329,0.0,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.0,0.0,0.0,1.585
convex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,
alpha,3.0, , , , , , , , , , , , , , , , , , , , , 
entropy,0.092,0.039,0.09,0.038,0.09,0.116,0.08,0.001,0.09,0.09,0.116,0.09,0.092,0.08,0.092,0.04,0.116,0.092,0.116,0.116,,
entropy_sum,1.677, , , , , , , , , , , , , , , , , , , , , 
