,M13,M11,M47,M27,M28,M26,M20,M3,M32,M21,M43,M12,costs,entropy
white,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,0.035,0.0,0.0,0.0,0.0,0.0,0.402,0.0,0.0,0.0,0.563,0.0,0.0,1.164
fibrous,0.007,0.122,0.121,0.121,0.091,0.091,0.083,0.0,0.128,0.0,0.116,0.121,0.0,3.193
edible,0.007,0.113,0.111,0.111,0.084,0.084,0.076,0.045,0.117,0.034,0.107,0.111,0.0,3.417
free,0.007,0.113,0.111,0.111,0.084,0.084,0.076,0.045,0.117,0.034,0.107,0.111,0.0,3.417
crowded,0.014,0.238,0.0,0.0,0.178,0.178,0.0,0.095,0.0,0.072,0.226,0.0,0.0,2.544
grasses,0.025,0.416,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.395,0.0,0.0,1.616
brown,0.0,0.368,0.0,0.0,0.0,0.0,0.249,0.0,0.383,0.0,0.0,0.0,0.0,1.56
convex,0.0,0.237,0.0,0.0,0.176,0.176,0.0,0.094,0.247,0.071,0.0,0.0,0.0,2.464
gray,0.0,0.0,0.229,0.229,0.0,0.0,0.0,0.092,0.0,0.0,0.22,0.229,0.0,2.259
sunken,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1.585
closed,0.0,0.0,0.211,0.211,0.0,0.0,0.145,0.0,0.223,0.0,0.0,0.211,0.0,2.307
urban,0.0,0.0,0.211,0.211,0.0,0.0,0.145,0.0,0.223,0.0,0.0,0.211,0.0,2.307
yellow,0.0,0.0,0.0,0.0,0.416,0.416,0.0,0.0,0.0,0.168,0.0,0.0,0.0,1.485
woods,0.0,0.0,0.0,0.0,0.416,0.416,0.0,0.0,0.0,0.168,0.0,0.0,0.0,1.485
smooth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569,0.0,0.431,0.0,0.0,0.0,0.986
prior,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,,
alpha,3.0, , , , , , , , , , , , , 
entropy,0.045,0.26,0.253,0.253,0.238,0.238,0.225,0.188,0.258,0.188,0.251,0.253,,
entropy_sum,2.649, , , , , , , , , , , , , 
