,M88,M65,M76,M61,M96,M63,M93,M87,M90,M89,costs,entropy
brown,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
convex,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
scaly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
poisonous,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
free,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
closed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
urban,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,3.322
prior,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
alpha,4.0, , , , , , , , , , , 
entropy,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,,
entropy_sum,2.325, , , , , , , , , , , 
