,M55,M97,M71,M79,M99,costs,entropy
brown,0.249,0.003,0.249,0.249,0.249,0.0,2.026
convex,0.25,0.0,0.25,0.25,0.25,0.0,2.0
smooth,0.249,0.003,0.249,0.249,0.249,0.0,2.026
poisonous,0.249,0.003,0.249,0.249,0.249,0.0,2.026
free,0.249,0.003,0.249,0.249,0.249,0.0,2.026
closed,0.249,0.003,0.249,0.249,0.249,0.0,2.026
grasses,0.249,0.003,0.249,0.249,0.249,0.0,2.026
flat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prior,0.2,0.2,0.2,0.2,0.2,,
alpha,4.0, , , , , , 
entropy,0.699,0.033,0.699,0.699,0.699,,
entropy_sum,2.831, , , , , , 
