,M8,M4,M31,M37,M34,M38,costs,entropy
yellow,0.249,0.249,0.249,0.249,0.0,0.005,0.0,2.033
convex,0.249,0.249,0.249,0.249,0.005,0.0,0.0,2.033
scaly,0.248,0.248,0.248,0.248,0.005,0.005,0.0,2.066
edible,0.248,0.248,0.248,0.248,0.005,0.005,0.0,2.066
free,0.248,0.248,0.248,0.248,0.005,0.005,0.0,2.066
closed,0.248,0.248,0.248,0.248,0.005,0.005,0.0,2.066
grasses,0.495,0.495,0.0,0.0,0.009,0.0,0.0,1.066
paths,0.0,0.0,0.495,0.495,0.0,0.009,0.0,1.066
white,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
flat,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prior,0.167,0.167,0.167,0.167,0.167,0.167,,
alpha,4.0, , , , , , , 
entropy,0.583,0.583,0.583,0.583,0.04,0.04,,
entropy_sum,2.41, , , , , , , 
