,M30,M25,M10,M15,M48,M42,M50,costs,entropy
yellow,0.013,0.197,0.001,0.197,0.197,0.197,0.197,0.0,2.401
bell,0.013,0.197,0.001,0.197,0.197,0.197,0.197,0.0,2.401
scaly,0.013,0.197,0.0,0.197,0.197,0.197,0.197,0.0,2.394
edible,0.013,0.197,0.001,0.197,0.197,0.197,0.197,0.0,2.401
free,0.013,0.197,0.001,0.197,0.197,0.197,0.197,0.0,2.401
closed,0.013,0.197,0.001,0.197,0.197,0.197,0.197,0.0,2.401
grasses,0.942,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.319
meadows,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,2.322
smooth,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,0.143,0.143,0.143,0.143,0.143,0.143,0.143,,
alpha,4.0, , , , , , , , 
entropy,0.083,0.462,0.04,0.462,0.462,0.462,0.462,,
entropy_sum,2.434, , , , , , , , 
