,M86,M70,M60,M52,M54,M67,M77,M56,M72,costs,entropy
white,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
convex,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
scaly,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
poisonous,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
free,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
closed,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
urban,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.0,3.17
prior,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,,
alpha,4.0, , , , , , , , , , 
entropy,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,,
entropy_sum,2.465, , , , , , , , , , 
