,yellow,bell,scaly,edible,free,closed,grasses,convex,meadows,white,smooth,flat,fibrous,crowded,brown,gray,sunken,urban,paths,woods
M30,0.1062433721310287,0.21454686505130166,0.17562679882884338,0.032257983458359,0.032257983458359,0.04390669970721084,0.39516029736489744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M8,0.11401165502661566,0.0,0.1884682460644055,0.03461661662407449,0.03461661662407449,0.047117061516101365,0.42405355364491215,0.15711625049981628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M25,0.1414219939494364,0.28558624262919413,0.23377921448784383,0.04293903939572643,0.04293903939572643,0.058444803621960945,0.0,0.0,0.19488966652011178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M2,0.0,0.17214909311283963,0.0,0.025883308044037965,0.025883308044037965,0.03523005817105166,0.0,0.0,0.11747792554581311,0.43156821259538286,0.19180809448683675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M10,0.0999071800018967,0.20175161834178024,0.0,0.03033416668945553,0.03033416668945553,0.04128817132731445,0.37159354194582994,0.0,0.0,0.0,0.2247911550042675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M4,0.11401165502661566,0.0,0.1884682460644055,0.03461661662407449,0.03461661662407449,0.047117061516101365,0.42405355364491215,0.15711625049981628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M45,0.10674669109937109,0.0,0.0,0.032410802920217224,0.032410802920217224,0.044114703974740085,0.39703233577266067,0.14710460833920894,0.0,0.0,0.24018005497358483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M23,0.15552783618067817,0.0,0.2570970353190803,0.0472219044463617,0.0472219044463617,0.06427425882977006,0.0,0.21432853038887412,0.21432853038887412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M15,0.1414219939494364,0.28558624262919413,0.23377921448784383,0.04293903939572643,0.04293903939572643,0.058444803621960945,0.0,0.0,0.19488966652011178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M29,0.13041253249707588,0.26335383986251604,0.0,0.03959630828420173,0.03959630828420173,0.05389497516460789,0.0,0.0,0.17971783778897604,0.0,0.29342819811842064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M13,0.0,0.0,0.0,0.003937068152836987,0.003937068152836987,0.0,0.04822908487225306,0.0,0.0,0.06564514329834446,0.0,0.5908062896851003,0.09452900634961599,0.19291633948901227,0.0,0.0,0.0,0.0,0.0,0.0
M11,0.0,0.0,0.0,0.005323715087650091,0.005323715087650091,0.0,0.06521550982371356,0.024163024433738876,0.0,0.0,0.0,0.0,0.12782239925447858,0.2608620392948543,0.5112895970179144,0.0,0.0,0.0,0.0,0.0
M16,0.0,0.18137908702737596,0.1484758512854484,0.027271074725898698,0.027271074725898698,0.037118962821362095,0.0,0.0,0.12377665485233035,0.45470729456168574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M47,0.0,0.0,0.0,0.002056644561546232,0.002056644561546232,0.002799321764326815,0.0,0.0,0.0,0.0,0.0,0.0,0.049380035922724996,0.0,0.0,0.1975201436909,0.5486670658080557,0.1975201436909,0.0,0.0
M36,0.0,0.0,0.0,0.027380216445342755,0.027380216445342755,0.037267516828383175,0.0,0.12427202208935338,0.12427202208935338,0.45652708114769397,0.20290092495453058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M40,0.0,0.0,0.0,0.02260706049880927,0.02260706049880927,0.03077072123449038,0.27693649111041335,0.10260784925830065,0.0,0.37694133512250716,0.16752948227666978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M24,0.0,0.0,0.0209848195401757,0.0038543546094200274,0.0038543546094200274,0.0052462048850439235,0.0,0.017493961091148362,0.0,0.0,0.0,0.0,0.0,0.0,0.3701722166886992,0.0,0.0,0.0,0.5783940885760928,0.0
M27,0.0,0.0,0.0,0.002056644561546232,0.002056644561546232,0.002799321764326815,0.0,0.0,0.0,0.0,0.0,0.0,0.049380035922724996,0.0,0.0,0.1975201436909,0.5486670658080557,0.1975201436909,0.0,0.0
M48,0.1414219939494364,0.28558624262919413,0.23377921448784383,0.04293903939572643,0.04293903939572643,0.058444803621960945,0.0,0.0,0.19488966652011178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M28,0.009420376496266637,0.0,0.0,0.002860247590911446,0.002860247590911446,0.0,0.0,0.012981955511868391,0.0,0.0,0.0,0.0,0.06867454465778376,0.14015213195466075,0.0,0.0,0.0,0.0,0.0,0.7630504961975976
M33,0.142315207485423,0.0,0.0,0.04321024000702766,0.04321024000702766,0.05881393778734318,0.0,0.19612057893548845,0.19612057893548845,0.0,0.32020921684220166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M42,0.1414219939494364,0.28558624262919413,0.23377921448784383,0.04293903939572643,0.04293903939572643,0.058444803621960945,0.0,0.0,0.19488966652011178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
