,brown,convex,scaly,poisonous,free,closed,urban,smooth,white,grasses,edible,paths,flat
M88,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M51,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M65,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M85,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M94,0.19141226540170694,0.07092023443995188,0.1465500156981817,0.060026886429975244,0.057695969271410304,0.057695969271410304,0.0,0.0,0.0,0.4156986594873636,0.0,0.0,0.0
M76,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M64,0.0,0.06436317138116729,0.0,0.05447698825701997,0.05236158040851596,0.05236158040851596,0.1417195324063996,0.37726446161371213,0.2574526855246692,0.0,0.0,0.0,0.0
M68,0.0,0.052092942846247374,0.0,0.044091466825063756,0.04237934143124163,0.04237934143124163,0.0,0.30534256804060805,0.20837177138498952,0.30534256804060805,0.0,0.0,0.0
M61,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M46,0.0006366430148116204,0.00023588285614948494,0.00048742980821514623,0.0,0.0001918985481016187,0.0001918985481016187,0.0,0.0,0.0,0.0,0.4991281236123102,0.4991281236123102,0.0
M86,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M97,0.026581651199457462,0.0,0.0,0.008336005816149853,0.008012308550701517,0.008012308550701517,0.0,0.057728572134001815,0.0,0.057728572134001815,0.0,0.0,0.833600581614986
M70,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M75,0.0,0.052092942846247374,0.0,0.044091466825063756,0.04237934143124163,0.04237934143124163,0.0,0.30534256804060805,0.20837177138498952,0.30534256804060805,0.0,0.0,0.0
M55,0.1508194224044748,0.05588016406668629,0.0,0.04729697086604325,0.04546037184356332,0.04546037184356332,0.0,0.32754134948783453,0.0,0.32754134948783453,0.0,0.0,0.0
M92,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M84,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M83,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M82,0.02757555165061075,0.0,0.0,0.008647692997631523,0.008311892539053758,0.008311892539053758,0.02249659988978025,0.059887070620716985,0.0,0.0,0.0,0.0,0.864769299763153
M57,0.1895908026425804,0.07024536354999196,0.0,0.059455675708713164,0.05714693935862476,0.05714693935862476,0.1546713728114287,0.41174290657003626,0.0,0.0,0.0,0.0,0.0
M96,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M74,0.0,0.06436317138116729,0.0,0.05447698825701997,0.05236158040851596,0.05236158040851596,0.1417195324063996,0.37726446161371213,0.2574526855246692,0.0,0.0,0.0,0.0
M81,0.028687912218550733,0.0,0.02196418279232788,0.008996529271737502,0.008647183075487801,0.008647183075487801,0.023404082392657406,0.0,0.0,0.0,0.0,0.0,0.8996529271737509
M63,0.25850498768025926,0.09577878560554025,0.19791788119269824,0.08106716413652923,0.07791922735152756,0.07791922735152756,0.21089272668191797,0.0,0.0,0.0,0.0,0.0,0.0
M59,0.0,0.0,0.0,0.008230544057947244,0.0079109420011027,0.0079109420011027,0.0,0.056998227548111166,0.038896711048900044,0.056998227548111166,0.0,0.0,0.823054405794725
M73,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M71,0.1508194224044748,0.05588016406668629,0.0,0.04729697086604325,0.04546037184356332,0.04546037184356332,0.0,0.32754134948783453,0.0,0.32754134948783453,0.0,0.0,0.0
M60,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M52,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
M66,0.0,0.06492929462752244,0.13417030022640367,0.05495615497273496,0.05282214049666955,0.05282214049666955,0.0,0.0,0.2597171785100898,0.38058279066991013,0.0,0.0,0.0
M54,0.0,0.08516621088800456,0.17598799046779054,0.07208468089560703,0.06928554488235975,0.06928554488235975,0.1875251844318602,0.0,0.3406648435520183,0.0,0.0,0.0,0.0
