,brown,flat,smooth,poisonous,free,closed,grasses,convex,urban
M97,0.003364726229050377,0.9240379406529589,0.003364726229050377,0.003364726229050377,0.003364726229050377,0.003364726229050377,0.05913842820178938,0.0,0.0
M55,0.04127687772889473,0.0,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.7254824029630532,0.06813320839247312,0.0
M82,0.0035221683348811653,0.9672754789667389,0.0035221683348811653,0.0035221683348811653,0.0035221683348811653,0.0035221683348811653,0.0,0.0,0.015113679358855306
M51,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M92,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M57,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M71,0.04127687772889473,0.0,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.7254824029630532,0.06813320839247312,0.0
M79,0.04127687772889473,0.0,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.7254824029630532,0.06813320839247312,0.0
M95,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M98,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M91,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M100,0.09139385853634267,0.0,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.09139385853634267,0.0,0.1508582323098008,0.3921724750084859
M99,0.04127687772889473,0.0,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.04127687772889473,0.7254824029630532,0.06813320839247312,0.0
