,yellow,convex,scaly,edible,free,closed,grasses,smooth,meadows,white,brown,paths,flat
M8,0.120460698512731,0.05081935718505845,0.09474560174328593,0.04236842805414188,0.04236842805414188,0.04236842805414188,0.6068690583964991,0.0,0.0,0.0,0.0,0.0,0.0
M4,0.120460698512731,0.05081935718505845,0.09474560174328593,0.04236842805414188,0.04236842805414188,0.04236842805414188,0.6068690583964991,0.0,0.0,0.0,0.0,0.0,0.0
M45,0.028972964342195474,0.012222969331863731,0.0,0.010190368895443466,0.010190368895443466,0.010190368895443466,0.14596292240033173,0.7822700372392787,0.0,0.0,0.0,0.0,0.0
M23,0.08878186245187523,0.03745484822188491,0.06982933924298608,0.03122635015608392,0.03122635015608392,0.03122635015608392,0.0,0.0,0.7102548996150021,0.0,0.0,0.0,0.0
M40,0.0,0.004326260353525529,0.0,0.0036068313470467195,0.0036068313470467195,0.0036068313470467195,0.05166286416338352,0.27688066262563377,0.0,0.6563097188163171,0.0,0.0,0.0
M24,0.0,0.0017200883685951236,0.003206864796434055,0.0014340488413933671,0.0014340488413933671,0.0014340488413933671,0.0,0.0,0.0,0.0,0.8806852447207029,0.11008565559008789,0.0
M33,0.026683007496873485,0.011256893787743515,0.0,0.009384945441603369,0.009384945441603369,0.009384945441603369,0.0,0.7204412024155848,0.21346405997498796,0.0,0.0,0.0,0.0
M39,0.0,0.0018892621428839742,0.003522265697429563,0.0015750901154595448,0.0015750901154595448,0.0015750901154595448,0.022560984656713554,0.0,0.0,0.0,0.9673022171565944,0.0,0.0
M34,0.0,0.005916779036566967,0.011031009073180822,0.004932857100300885,0.004932857100300885,0.004932857100300885,0.07065634674570924,0.0,0.0,0.8975972938436403,0.0,0.0,0.0
M31,0.03304303718582202,0.013940031312768683,0.02598924363090599,0.011621894617769269,0.011621894617769269,0.011621894617769269,0.0,0.0,0.0,0.0,0.0,0.8921620040171955,0.0
M37,0.03304303718582202,0.013940031312768683,0.02598924363090599,0.011621894617769269,0.011621894617769269,0.011621894617769269,0.0,0.0,0.0,0.0,0.0,0.8921620040171955,0.0
M38,0.000568879443168073,0.0,0.0004474390886638281,0.000200086236066442,0.000200086236066442,0.000200086236066442,0.0,0.0,0.0,0.0,0.0,0.015359744965537988,0.9830236777944308
M19,0.0,0.0056807805795898395,0.010591022873918962,0.00473610365438631,0.00473610365438631,0.00473610365438631,0.0,0.0,0.1077244317314813,0.861795453851851,0.0,0.0,0.0
M9,0.08878186245187523,0.03745484822188491,0.06982933924298608,0.03122635015608392,0.03122635015608392,0.03122635015608392,0.0,0.0,0.7102548996150021,0.0,0.0,0.0,0.0
M1,0.028972964342195474,0.012222969331863731,0.0,0.010190368895443466,0.010190368895443466,0.010190368895443466,0.14596292240033173,0.7822700372392787,0.0,0.0,0.0,0.0,0.0
M18,0.08878186245187523,0.03745484822188491,0.06982933924298608,0.03122635015608392,0.03122635015608392,0.03122635015608392,0.0,0.0,0.7102548996150021,0.0,0.0,0.0,0.0
M35,0.08878186245187523,0.03745484822188491,0.06982933924298608,0.03122635015608392,0.03122635015608392,0.03122635015608392,0.0,0.0,0.7102548996150021,0.0,0.0,0.0,0.0
