,white,bell,smooth,edible,free,closed,meadows,yellow,scaly,grasses,convex
M2,0.5998238708958166,0.044774722539533095,0.17772559137653798,0.038388727737332165,0.038388727737332165,0.038388727737332165,0.0625096319761159,0.0,0.0,0.0,0.0
M30,0.0,0.0036366945740392747,0.0,0.003118011010416921,0.003118011010416921,0.003118011010416921,0.0,0.014435236159337615,0.048718922037764525,0.9238551141976079,0.0
M25,0.0,0.04477472253953309,0.0,0.03838872773733216,0.03838872773733216,0.03838872773733216,0.0625096319761159,0.17772559137653796,0.5998238708958166,0.0,0.0
M10,0.0,0.003765800081100685,0.014947698354322692,0.0032287028445336977,0.0032287028445336977,0.0032287028445336977,0.0,0.014947698354322692,0.0,0.9566526946766528,0.0
M15,0.0,0.04477472253953309,0.0,0.03838872773733216,0.03838872773733216,0.03838872773733216,0.0625096319761159,0.17772559137653796,0.5998238708958166,0.0,0.0
M29,0.0,0.0774780917805327,0.3075360136126586,0.06642777894033419,0.06642777894033419,0.06642777894033419,0.10816654417314751,0.3075360136126586,0.0,0.0,0.0
M16,0.42178791686505596,0.031484970613049744,0.0,0.026994426679363512,0.026994426679363512,0.026994426679363512,0.04395591561874785,0.0,0.42178791686505596,0.0,0.0
M36,0.001947068894683473,0.0,0.0005769093021284356,0.00012461240925974195,0.00012461240925974195,0.00012461240925974195,0.00020291049747159294,0.0,0.0,0.0,0.9968992740779373
M48,0.0,0.04477472253953309,0.0,0.03838872773733216,0.03838872773733216,0.03838872773733216,0.0625096319761159,0.17772559137653796,0.5998238708958166,0.0,0.0
M42,0.0,0.04477472253953309,0.0,0.03838872773733216,0.03838872773733216,0.03838872773733216,0.0625096319761159,0.17772559137653796,0.5998238708958166,0.0,0.0
M22,0.0,0.0774780917805327,0.3075360136126586,0.06642777894033419,0.06642777894033419,0.06642777894033419,0.10816654417314751,0.3075360136126586,0.0,0.0,0.0
M50,0.0,0.04477472253953309,0.0,0.03838872773733216,0.03838872773733216,0.03838872773733216,0.0625096319761159,0.17772559137653796,0.5998238708958166,0.0,0.0
M17,0.5998238708958166,0.044774722539533095,0.17772559137653798,0.038388727737332165,0.038388727737332165,0.038388727737332165,0.0625096319761159,0.0,0.0,0.0,0.0
M6,0.42178791686505596,0.031484970613049744,0.0,0.026994426679363512,0.026994426679363512,0.026994426679363512,0.04395591561874785,0.0,0.42178791686505596,0.0,0.0
M41,0.5998238708958166,0.044774722539533095,0.17772559137653798,0.038388727737332165,0.038388727737332165,0.038388727737332165,0.0625096319761159,0.0,0.0,0.0,0.0
M44,0.048718922037764525,0.0036366945740392747,0.014435236159337615,0.003118011010416921,0.003118011010416921,0.003118011010416921,0.0,0.0,0.0,0.9238551141976079,0.0
M49,0.0,0.0774780917805327,0.3075360136126586,0.06642777894033419,0.06642777894033419,0.06642777894033419,0.10816654417314751,0.3075360136126586,0.0,0.0,0.0
M5,0.5998238708958166,0.044774722539533095,0.17772559137653798,0.038388727737332165,0.038388727737332165,0.038388727737332165,0.0625096319761159,0.0,0.0,0.0,0.0
M14,0.0,0.0774780917805327,0.3075360136126586,0.06642777894033419,0.06642777894033419,0.06642777894033419,0.10816654417314751,0.3075360136126586,0.0,0.0,0.0
M7,0.0,0.0774780917805327,0.3075360136126586,0.06642777894033419,0.06642777894033419,0.06642777894033419,0.10816654417314751,0.3075360136126586,0.0,0.0,0.0
