,white,flat,fibrous,edible,free,crowded,grasses,brown,convex,gray,sunken,closed,urban,yellow,woods,smooth
M13,0.9454164776644017,0.035015425098681545,0.0009454164776644011,0.0005471160171668988,0.0005471160171668988,0.002756316261412251,0.014772132463506284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M11,0.0,0.0,0.016034756689968073,0.009279373084472265,0.009279373084472265,0.04674856177833262,0.25054307328075137,0.5938798774062253,0.07423498467577815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M47,0.0,0.0,0.01582417582417581,0.009157509157509151,0.009157509157509151,0.0,0.0,0.0,0.0,0.12659340659340662,0.586080586080586,0.12659340659340662,0.12659340659340662,0.0,0.0,0.0
M27,0.0,0.0,0.01582417582417581,0.009157509157509151,0.009157509157509151,0.0,0.0,0.0,0.0,0.12659340659340662,0.586080586080586,0.12659340659340662,0.12659340659340662,0.0,0.0,0.0
M28,0.0,0.0,0.011936512601102197,0.006907704051563771,0.006907704051563771,0.03480032828309682,0.0,0.0,0.05526163241251019,0.0,0.0,0.0,0.0,0.44209305930008164,0.44209305930008164,0.0
M26,0.0,0.0,0.011936512601102197,0.006907704051563771,0.006907704051563771,0.03480032828309682,0.0,0.0,0.05526163241251019,0.0,0.0,0.0,0.0,0.44209305930008164,0.44209305930008164,0.0
M20,0.0,0.40156610782049984,0.01084228491115349,0.0062744704346953065,0.0062744704346953065,0.0,0.0,0.40156610782049984,0.0,0.0,0.0,0.08673827928922802,0.08673827928922802,0.0,0.0,0.0
M3,0.0,0.0,0.0,0.00367833814441374,0.00367833814441374,0.018531102954947372,0.09931512989917109,0.0,0.02942670515530993,0.050849346508375595,0.0,0.0,0.0,0.0,0.0,0.7945210391933685
M32,0.0,0.0,0.01671567868750966,0.009673425166382905,0.009673425166382905,0.0,0.0,0.6190992106485063,0.07738740133106327,0.0,0.0,0.13372542950007743,0.13372542950007743,0.0,0.0,0.0
M21,0.0,0.0,0.0,0.002785221274868045,0.002785221274868045,0.014031668696711332,0.0,0.0,0.022281770198944367,0.0,0.0,0.0,0.0,0.17825416159155497,0.17825416159155497,0.6016077953714982
M43,0.0,0.5634303710735175,0.015212620018984963,0.008803599548023705,0.008803599548023705,0.04435166186292997,0.23769718779664029,0.0,0.0,0.12170096015187984,0.0,0.0,0.0,0.0,0.0,0.0
M12,0.0,0.0,0.01582417582417581,0.009157509157509151,0.009157509157509151,0.0,0.0,0.0,0.0,0.12659340659340662,0.586080586080586,0.12659340659340662,0.12659340659340662,0.0,0.0,0.0
